name	components	components_genesymbols	stoichiometry	sources	references	identifiers
CSF2RA/CSF2RB	P15509_P32927	CSF2RA_CSF2RB	0:0	SIGNOR;Cellinker;ICELLNET;CellChatDB;Guide2Pharma	18692472	SIGNOR:SIGNOR-C212
Core Binding Factor complex	Q01196_Q13951	CBFB_RUNX1	6:4	PDB;SIGNOR;Compleat;CORUM	11276260	SIGNOR:SIGNOR-C214;CORUM:5770;Compleat:HC3001;PDB:1e50;PDB:1h9d
FZD7/SDC4	O75084_P31431	FZD7_SDC4	0:0	SIGNOR		SIGNOR:SIGNOR-C216
DGC	O60941_P11532_P24043_P29475_P56539_Q13326_Q13424_Q13425_Q13884_Q14118_Q16585_Q16586_Q92629_Q9NSN8_Q9NY99_Q9Y4J8	CAV3_DAG1_DMD_DTNA_DTNB_LAMA2_NOS1_SGCA_SGCB_SGCD_SGCG_SNTA1_SNTB1_SNTB2_SNTG1_SNTG2	0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C217
MAPK12/CARM1	P53778_Q86X55	CARM1_MAPK12	0:0	SIGNOR		SIGNOR:SIGNOR-C218
LPR5/6	O75197_O75581	LRP5_LRP6	0:0	SIGNOR;hu.MAP		SIGNOR:SIGNOR-C219
Caspase 1 complex	P29466	CASP1	4	PDB;SIGNOR;ComplexPortal	22764097;14755292;15296730;7721861	SIGNOR:SIGNOR-C220;intact:EBI-12685767;reactome:R-HSA-448695;PDB:1sc1;PDB:2hbq;PDB:2h54;PDB:2h51;PDB:2hby;PDB:1rwn;PDB:6f6r;PDB:1ibc;PDB:3d6h;PDB:5mmv;PDB:1rwv;PDB:1rwx;PDB:5mtk;PDB:1rwm;PDB:2hbz;PDB:3d6f;PDB:1rwp;PDB:1rwk;PDB:2h48;PDB:2hbr;PDB:1sc4;PDB:6pzp;PDB:2fqq;PDB:1rww;PDB:3d6m;PDB:1bmq;PDB:1rwo;PDB:1sc3;PDB:2h4w;PDB:1ice;PDB:3ns7;PDB:5fna;PDB:3e4c;PDB:6bz9;PDB:2h4y
Caspase 3 complex	P42574	CASP3	4	PDB;SIGNOR;ComplexPortal	14755292;10200555	SIGNOR:SIGNOR-C221;intact:EBI-12735071;reactome:R-HSA-350888;reactome:R-HSA-6804332;PDB:5ibr;PDB:2cnk;PDB:2c1e;PDB:6x8i;PDB:6bha;PDB:6bgq;PDB:1nme;PDB:5i9t;PDB:6bg0;PDB:1rhm;PDB:3edq;PDB:7rne;PDB:6bfj;PDB:4jr0;PDB:4dco;PDB:5iab;PDB:2h5j;PDB:1rhj;PDB:1rhu;PDB:2cjy;PDB:7usp;PDB:7rnf;PDB:3gjs;PDB:4ehk;PDB:4ps0;PDB:4dcj;PDB:2xzd;PDB:6bgs;PDB:4jqz;PDB:6bgr;PDB:1nms;PDB:2xzt;PDB:2h5i;PDB:4que;PDB:4ehl;PDB:7rnc;PDB:7rnb;PDB:3dei;PDB:1rhk;PDB:6bg1;PDB:1rhr;PDB:3gjq;PDB:2cnn;PDB:4qud;PDB:4dcp;PDB:2xyh;PDB:2xyg;PDB:7seo;PDB:6ckz;PDB:3kjf;PDB:6x8k;PDB:3h0e;PDB:6bgk;PDB:1rhq;PDB:7rnd;PDB:6bdv;PDB:1nmq;PDB:4eha;PDB:2xyp;PDB:2c2m;PDB:1pau;PDB:7rn8;PDB:3deh;PDB:2y0b;PDB:6bfk;PDB:7rna;PDB:6bh9;PDB:6cl0;PDB:2c2o;PDB:5iae;PDB:6bfl;PDB:7usq;PDB:3dek;PDB:7rn9;PDB:6bg4;PDB:2cnl;PDB:1cp3;PDB:3gjr;PDB:5ic4;PDB:6bfo;PDB:2cno;PDB:3dej;PDB:7uso;PDB:2cjx;PDB:7rn7;PDB:1gfw;PDB:2cdr;PDB:4quh;PDB:1re1;PDB:7rng;PDB:4qui;PDB:4qul;PDB:2h65;PDB:4qug;PDB:2dko;PDB:2c2k;PDB:3gjt;PDB:4jqy
AIM2 inflammasome	O14862_P29466_Q9ULZ3	AIM2_CASP1_PYCARD	1:1:1	SIGNOR;ComplexPortal	29196474;26121197;14755292;24630722;28314590;20303873;29247998;19158676	SIGNOR:SIGNOR-C222;intact:EBI-21198475;PDB:1sc1;PDB:2hbq;PDB:2h54;PDB:2h51;PDB:3rn5;PDB:3rn2;PDB:3j63;PDB:2hby;PDB:1rwn;PDB:1ibc;PDB:3d6h;PDB:6n1h;PDB:5mmv;PDB:1rwv;PDB:1rwx;PDB:5mtk;PDB:1rwm;PDB:2hbz;PDB:3d6f;PDB:1rwp;PDB:1rwk;PDB:2h48;PDB:2hbr;PDB:1sc4;PDB:2fqq;PDB:1rww;PDB:3d6m;PDB:1bmq;PDB:1rwo;PDB:1sc3;PDB:2h4w;PDB:2n00;PDB:6mb2;PDB:1ice;PDB:3ns7;PDB:5fna;PDB:3e4c;PDB:6bz9;PDB:2h4y
NLRC4 inflammasome	P29466_Q13075_Q9NPP4_Q9ULZ3	CASP1_NAIP_NLRC4_PYCARD	1:1:1:1	SIGNOR;ComplexPortal	25879286;26121197;29247997;14755292;19237518;20303873;30279182;29196474	SIGNOR:SIGNOR-C223;intact:EBI-21199233;PDB:1sc1;PDB:2hbq;PDB:2h54;PDB:2h51;PDB:3j63;PDB:2hby;PDB:1rwn;PDB:6f6r;PDB:1ibc;PDB:3d6h;PDB:6n1h;PDB:5mmv;PDB:1rwv;PDB:1rwx;PDB:5mtk;PDB:1rwm;PDB:2hbz;PDB:3d6f;PDB:1rwp;PDB:1rwk;PDB:2h48;PDB:2hbr;PDB:6n1i;PDB:1sc4;PDB:6mks;PDB:2fqq;PDB:1rww;PDB:3d6m;PDB:1bmq;PDB:1rwo;PDB:1sc3;PDB:2h4w;PDB:1ice;PDB:3ns7;PDB:5fna;PDB:3e4c;PDB:6bz9;PDB:2h4y
NLRP1 inflammasome	P29466_Q9C000_Q9ULZ3	CASP1_NLRP1_PYCARD	1:1:1	SIGNOR;ComplexPortal	20007570;14755292;30872531;20303873;25879281;17349957;29196474	SIGNOR:SIGNOR-C224;intact:EBI-21018494;PDB:1sc1;PDB:2hbq;PDB:2h54;PDB:2h51;PDB:3j63;PDB:2hby;PDB:1rwn;PDB:6f6r;PDB:1ibc;PDB:3d6h;PDB:6n1h;PDB:5mmv;PDB:1rwv;PDB:1rwx;PDB:5mtk;PDB:1rwm;PDB:2hbz;PDB:3d6f;PDB:1rwp;PDB:1rwk;PDB:2h48;PDB:2hbr;PDB:1sc4;PDB:2fqq;PDB:1rww;PDB:3d6m;PDB:1bmq;PDB:1rwo;PDB:1sc3;PDB:2h4w;PDB:1ice;PDB:3ns7;PDB:5fna;PDB:3e4c;PDB:6bz9;PDB:2h4y
NLRP3 inflammasome	P29466_Q96P20_Q9ULZ3	CASP1_NLRP3_PYCARD	1:1:1	KEGG-MEDICUS;SIGNOR;ComplexPortal	29255148;28263976;20007570;10567338;30288079;26121197;20303873;14755292;22258606;22981536;26611636;29196474	SIGNOR:SIGNOR-C225;intact:EBI-21197796;PDB:1sc1;PDB:2hbq;PDB:2h54;PDB:2h51;PDB:3j63;PDB:2hby;PDB:1rwn;PDB:6f6r;PDB:1ibc;PDB:3d6h;PDB:6n1h;PDB:5mmv;PDB:1rwv;PDB:1rwx;PDB:5mtk;PDB:1rwm;PDB:2hbz;PDB:3d6f;PDB:1rwp;PDB:1rwk;PDB:2h48;PDB:2hbr;PDB:1sc4;PDB:2fqq;PDB:1rww;PDB:3d6m;PDB:1bmq;PDB:1rwo;PDB:1sc3;PDB:2h4w;PDB:1ice;PDB:3ns7;PDB:5fna;PDB:3e4c;PDB:6bz9;PDB:2h4y
Pyrin inflammasome	O15553_P29466_Q9ULZ3	CASP1_MEFV_PYCARD	1:1:1	SIGNOR;ComplexPortal	27911804;29148036;16037825;14755292;29718184;29196474	SIGNOR:SIGNOR-C226;intact:EBI-21198929;PDB:1sc1;PDB:2hbq;PDB:2h54;PDB:2h51;PDB:3j63;PDB:2hby;PDB:1rwn;PDB:6f6r;PDB:1ibc;PDB:3d6h;PDB:6n1h;PDB:5mmv;PDB:1rwv;PDB:1rwx;PDB:5mtk;PDB:4cg4;PDB:1rwm;PDB:2hbz;PDB:3d6f;PDB:1rwp;PDB:1rwk;PDB:2h48;PDB:2hbr;PDB:1sc4;PDB:2fqq;PDB:1rww;PDB:3d6m;PDB:1bmq;PDB:1rwo;PDB:1sc3;PDB:2h4w;PDB:1ice;PDB:3ns7;PDB:5fna;PDB:3e4c;PDB:6bz9;PDB:2h4y
Caspase 2 complex	P42575	CASP2	4	PDB;SIGNOR;ComplexPortal	21828056;14755292;22949111	SIGNOR:SIGNOR-C227;reactome:R-HSA-350852;reactome:R-HSA-205098;intact:EBI-12735009;PDB:3r6l;PDB:1pyo;PDB:9c2y;PDB:3r6g;PDB:3rjm;PDB:3r7n;PDB:3r7s;PDB:2p2c;PDB:3r5j;PDB:8vp4;PDB:3r7b
Caspase 6 complex	P55212	CASP6	4	PDB;SIGNOR;ComplexPortal	14755292	SIGNOR:SIGNOR-C228;reactome:R-HSA-350324;reactome:R-HSA-352255;intact:EBI-12735146;PDB:8fbv;PDB:6deu;PDB:8eg6;PDB:2wdp;PDB:4nbn;PDB:3v6l;PDB:4fxo;PDB:4nbk;PDB:3p4u;PDB:8f78;PDB:3k7e;PDB:8f98;PDB:8f97;PDB:4n5d;PDB:4iyr;PDB:3qnw;PDB:8f9d;PDB:4n6g;PDB:8f96;PDB:8eg5;PDB:3p45;PDB:8f9b;PDB:4hva;PDB:4ejf;PDB:3od5;PDB:3s70;PDB:3nkf;PDB:8f99;PDB:6dev;PDB:4nbl;PDB:8f9c;PDB:8f9a;PDB:3nr2;PDB:4n7m;PDB:3v6m;PDB:4n7j;PDB:3s8e
Caspase 9 complex	P55211	CASP9	4	PDB;SIGNOR;ComplexPortal	14755292;29500231	SIGNOR:SIGNOR-C229;reactome:R-HSA-141640;intact:EBI-13635278;PDB:1jxq;PDB:2ar9
Apoptosome	O14727_P55211_P99999	APAF1_CASP9_CYCS	7:8:7	SIGNOR;ComplexPortal;Compleat;CORUM	11406413;28111022;17377525;10692394;27697150;14744432;14755292	SIGNOR:SIGNOR-C230;CORUM:5816;Compleat:HC2711;intact:EBI-20740034;reactome:R-HSA-114258;PDB:5wvc;PDB:3ygs;PDB:4rhw
Caspase 8 complex	Q14790	CASP8	4	PDB;SIGNOR;ComplexPortal	14755292	SIGNOR:SIGNOR-C231;intact:EBI-12736090;reactome:R-HSA-2562550;PDB:1f9e;PDB:4zbw;PDB:5l08;PDB:2c2z;PDB:3kjn;PDB:6x8h;PDB:1qdu;PDB:2y1l;PDB:5h31;PDB:1qtn;PDB:3kjq;PDB:6px9;PDB:5h33;PDB:4ps1
Caspase 7 complex	P55210	CASP7	4	PDB;SIGNOR;ComplexPortal	11701129;14755292;19782763	SIGNOR:SIGNOR-C232;reactome:R-HSA-351937;reactome:R-HSA-6804359;reactome:R-HSA-6804324;reactome:R-HSA-6804362;intact:EBI-9027139;PDB:3r5k;PDB:1shj;PDB:4jr1;PDB:5v6u;PDB:5k20;PDB:4hqr;PDB:1gqf;PDB:4zvt;PDB:5ic6;PDB:2ql5;PDB:2qlf;PDB:1shl;PDB:6x8l;PDB:6x8j;PDB:4fdl;PDB:4jr2;PDB:3ibc;PDB:4zvu;PDB:3ibf;PDB:4jj8;PDB:4fea;PDB:4zvs;PDB:4jb8;PDB:4zvq;PDB:8dj3;PDB:4hq0;PDB:4zvr;PDB:2qlb;PDB:2ql9;PDB:2ql7;PDB:1f1j;PDB:6cl2;PDB:6cl1;PDB:1k86;PDB:4zvp;PDB:1k88;PDB:3h1p;PDB:2qlj;PDB:4zvo;PDB:5v6z;PDB:8dgz;PDB:4lsz
Ribonucleotide reductase	P23921_P31350	RRM1_RRM2	2:2	SIGNOR;ComplexPortal	24600515;14755292;18997010	SIGNOR:SIGNOR-C233;intact:EBI-9009096;reactome:R-HSA-73640;PDB:3HNF;PDB:3OLJ;PDB:3VPO;PDB:3VPN;PDB:4X3V;PDB:3HNE;PDB:3HND;PDB:3VPM;PDB:2UW2;PDB:2WGH;PDB:3HNC
CyclinD3/CDK6	P30281_Q00534	CCND3_CDK6	1:1	SIGNOR;Compleat;CORUM;ComplexPortal;KEGG-MEDICUS	8114739;9447971;14755292	SIGNOR:SIGNOR-C234;CORUM:3089;Compleat:HC188;intact:EBI-768433
P-TEFb	O60563_P50750	CCNT1_CDK9	1:1	SIGNOR;Compleat;hu.MAP2;CORUM;PDB;ComplexPortal	24050178;18566585;18513937;9499409;10866664;10574912;16109376;12494448;10733565;14755292	SIGNOR:SIGNOR-C238;CORUM:1079;Compleat:HC3369;intact:EBI-11164903;reactome:R-HSA-167183;reactome:R-HSA-112431;PDB:8i0l;PDB:4bcg;PDB:4bcf;PDB:6gzh;PDB:8k5r;PDB:4bch;PDB:7nwk;PDB:3tnh;PDB:4imy;PDB:3tn8;PDB:3blr;PDB:3mia;PDB:3blq;PDB:6w9e;PDB:4ec8;PDB:4ogr;PDB:3my1;PDB:4or5;PDB:3mi9;PDB:4bci;PDB:3tni;PDB:6z45;PDB:3blh;PDB:4bcj;PDB:4ec9;PDB:3lq5
Spike protein-ACE2	P59594_Q9BYF1	ACE2_P59594	0:0	SIGNOR		SIGNOR:SIGNOR-C240
Vps34 Complex II	Q14457_Q8NEB9_Q99570_Q9P2Y5	BECN1_PIK3C3_PIK3R4_UVRAG	1:1:1:1	SIGNOR;ComplexPortal;SPIKE;hu.MAP	14755292;16467569	SIGNOR:SIGNOR-C241;intact:EBI-10688980
Vps34 Complex I	Q14457_Q6ZNE5_Q8NEB9_Q99570	ATG14_BECN1_PIK3C3_PIK3R4	1:1:1:1	CFinder;Compleat;SIGNOR;PDB;ComplexPortal	14755292;16467569	SIGNOR:SIGNOR-C242;Compleat:HC7390;intact:EBI-10687239;reactome:R-HSA-74693;reactome:R-HSA-188015;PDB:8sor
IFNAR	P17181_P48551	IFNAR1_IFNAR2	0:0	SIGNOR;Cellinker;ICELLNET;SPIKE;KEGG-MEDICUS;CellChatDB;Guide2Pharma	23449591;11514542;15032600	SIGNOR:SIGNOR-C243
STC2/HMOX1	O76061_P09601	HMOX1_STC2	0:0	SIGNOR		SIGNOR:SIGNOR-C244
AP-2 complex	O94973_P53680_P63010_Q96CW1	AP2A2_AP2B1_AP2M1_AP2S1	1:1:1:1	SIGNOR;ComplexPortal	29184887;14755292;31671891;10611976	SIGNOR:SIGNOR-C245;intact:EBI-25300626;reactome:R-HSA-167712;reactome:R-HSA-177480
Early Endosome	CHEBI:17283_P20338_P20339_P61026_P61106_Q15075_Q9H1K0_Q9UL25_Q9UL26	CHEBI:17283_EEA1_RAB10_RAB14_RAB21_RAB22A_RAB4A_RAB5A_RBSN	0:0:0:0:0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C246
AP-3 complex	O00203_O14617_Q92572_Q9Y2T2	AP3B1_AP3D1_AP3M1_AP3S1	1:1:1:1	PDB;SIGNOR;ComplexPortal;hu.MAP	14755292;10611976;23247405;19497727	SIGNOR:SIGNOR-C247;intact:EBI-22229690;PDB:9c5c
AP-1 complex	O43747_P61966_Q10567_Q9BXS5	AP1B1_AP1G1_AP1M1_AP1S1	1:1:1:1	SIGNOR;ComplexPortal;hu.MAP	19057675;23247405;25387275;14755292;10611976	SIGNOR:SIGNOR-C248;reactome:R-HSA-432702;reactome:R-HSA-2130687;reactome:R-HSA-350811;intact:EBI-22228790
BLOC-2	Q86YV9_Q969F9_Q9UPZ3	HPS3_HPS5_HPS6	1:1:1	SIGNOR;Compleat;CORUM;ComplexPortal;hu.MAP3	14718540;30387913;23247405;23726022;14755292;25189619;15030569	SIGNOR:SIGNOR-C252;CORUM:12;Compleat:HC489;intact:EBI-22228238
BLOC-3	Q92902_Q9NQG7	HPS1_HPS4	1:1	SIGNOR;ComplexPortal;Compleat;CORUM	30387913;23247405;12756248;23174301;23726022;14755292;16185271;12847290;20048159	SIGNOR:SIGNOR-C253;CORUM:11;Compleat:HC1348;intact:EBI-22228063
CoV2 Spike protein-ACE2	P0DTC2_Q9BYF1	ACE2_P0DTC2	0:0	SIGNOR		SIGNOR:SIGNOR-C254
Exosome_Complex	CHEBI:18420_Q01780_Q06265_Q13868_Q15024_Q5RKV6_Q8TF46_Q96B26_Q9NPD3_Q9NQT4_Q9NQT5_Q9Y3B2	CHEBI:18420_DIS3L_EXOSC1_EXOSC10_EXOSC2_EXOSC3_EXOSC4_EXOSC5_EXOSC6_EXOSC7_EXOSC8_EXOSC9	0:0:0:0:0:0:0:0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C255
EIF4E2/GIGYF1 complex	O60573_O75420	EIF4E2_GIGYF1	4:4	hu.MAP3;SIGNOR;hu.MAP2;PDB		SIGNOR:SIGNOR-C256;PDB:5nvk
EIF4E2/GIGYF2 complex	O60573_Q6Y7W6	EIF4E2_GIGYF2	2:2	PDB;SIGNOR;hu.MAP2		SIGNOR:SIGNOR-C257;PDB:5nvm;PDB:5nvl
WASH complex	A8K0Z3_Q12768_Q2M389_Q9Y3C0_Q9Y4E1	WASHC1_WASHC2C_WASHC3_WASHC4_WASHC5	1:1:1:1:1	SIGNOR;ComplexPortal;CORUM	20498093;14755292;18159949;23721880	SIGNOR:SIGNOR-C258;CORUM:6481;intact:EBI-15483015
p62_complex	P37198_Q7Z3B4_Q9BVL2	NUP54_NUP58_NUP62	0:0:0	SIGNOR		SIGNOR:SIGNOR-C259
IL17R complex	Q8NAC3_Q96F46	IL17RA_IL17RC	1:1	SIGNOR;Cellinker;ICELLNET;CellChatDB;Guide2Pharma;CellPhoneDB	24011563	SIGNOR:SIGNOR-C260;CellPhoneDB:IL17_receptor_AC
DNA primase complex	P49642_P49643	PRIM1_PRIM2	2:2	PDB;SIGNOR;hu.MAP2		SIGNOR:SIGNOR-C261;PDB:4bpu;PDB:4bpw;PDB:4rr2;PDB:4bpx
NPC	O15504_O75694_P12270_P35658_P37198_P49790_P49792_P52948_P55735_P57740_P78406_Q12769_Q53GS7_Q5SRE5_Q7Z3B4_Q8N1F7_Q8NFH3_Q8NFH4_Q8NFH5_Q8TEM1_Q8WUM0_Q8WYP5_Q92621_Q96EE3_Q96HA1_Q99567_Q9BTX1_Q9BVL2_Q9BW27_Q9NRG9_Q9UKX7	AAAS_AHCTF1_GLE1_NDC1_NUP107_NUP133_NUP153_NUP155_NUP160_NUP188_NUP205_NUP210_NUP214_NUP35_NUP37_NUP42_NUP43_NUP50_NUP54_NUP58_NUP62_NUP85_NUP88_NUP93_NUP98_POM121_RAE1_RANBP2_SEC13_SEH1L_TPR	1:1:1:1:1:1:1:2:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1	SIGNOR;ComplexPortal	26416747;27016207;35563762;27999437;23090414;34127448;12791264;14755292;24315095	SIGNOR:SIGNOR-C263;intact:EBI-22033689;PDB:3cqc;PDB:3i4r;PDB:2grr;PDB:2grn;PDB:2pe6;PDB:3uip;PDB:3cqg;PDB:2grq;PDB:5ijn;PDB:4jo7;PDB:5a9q;PDB:2las;PDB:2gro;PDB:1z5s;PDB:4jo9;PDB:2grp;PDB:5ijo
ATP synthase	O75947_O75964_P03928_P05496_P06576_P18859_P24539_P25705_P30049_P36542_P48047_P56385_Q9UII2	ATP5F1A_ATP5F1B_ATP5F1C_ATP5F1D_ATP5IF1_ATP5MC1_ATP5ME_ATP5MG_ATP5PB_ATP5PD_ATP5PF_ATP5PO_MT-ATP8	0:0:0:0:0:0:0:0:0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C264
Integrator complex	Q5TA45_Q68E01_Q6P9B9_Q75QN2_Q8N201_Q96CB8_Q96HW7_Q96SY0_Q9H0H0_Q9NV88_Q9NVH2_Q9NVM9_Q9NVR2_Q9UL03	INTS1_INTS10_INTS11_INTS12_INTS13_INTS14_INTS2_INTS3_INTS4_INTS5_INTS6_INTS7_INTS8_INTS9	0:0:0:0:0:0:0:0:0:0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C265
28S mitochondrial small ribosomal subunit	O15235_O60783_P51398_P82650_P82663_P82664_P82673_P82675_P82912_P82914_P82921_P82930_P82932_P82933_Q92552_Q92665_Q96BP2_Q96EL2_Q96EY7_Q9BYN8_Q9NWT8_Q9Y291_Q9Y2Q9_Q9Y2R5_Q9Y2R9_Q9Y399_Q9Y3D3_Q9Y3D5_Q9Y3D9_Q9Y676	AURKAIP1_CHCHD1_DAP3_MRPS10_MRPS11_MRPS12_MRPS14_MRPS15_MRPS16_MRPS17_MRPS18B_MRPS18C_MRPS2_MRPS21_MRPS22_MRPS23_MRPS24_MRPS25_MRPS26_MRPS27_MRPS28_MRPS31_MRPS33_MRPS34_MRPS35_MRPS5_MRPS6_MRPS7_MRPS9_PTCD3	1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1	PDB;SIGNOR;ComplexPortal	27023846;25838379;14755292;26789594	SIGNOR:SIGNOR-C266;intact:EBI-25402317;PDB:7po1;PDB:7po3
CoV2 spike protein-NRP1	O14786_P0DTC2	NRP1_P0DTC2	0:0	SIGNOR		SIGNOR:SIGNOR-C267
MCM	P25205_P33991_P33992_P33993_P49736_Q14566	MCM2_MCM3_MCM4_MCM5_MCM6_MCM7	2:2:2:2:2:2	SIGNOR;Compleat;CORUM;PDB;ComplexPortal;SPIKE;KEGG-MEDICUS	8798650;14755292;15928711;15108800	SIGNOR:SIGNOR-C268;CORUM:387;Compleat:HC764;intact:EBI-913604;PDB:8s0a;PDB:7w68;PDB:8w0e;PDB:7w1y;PDB:8w0f;PDB:8w0i;PDB:9caq;PDB:8s09;PDB:8w0g
CHEVI complex	Q9H267_Q9H9C1	VIPAS39_VPS33B	1:1	hu.MAP3;SIGNOR;ComplexPortal;CORUM	27555442;14755292;26463206;23918659;29778605	SIGNOR:SIGNOR-C269;CORUM:6390;intact:EBI-26363590
GPIb-IX-V complex	P07359_P13224_P14770_P40197	GP1BA_GP1BB_GP5_GP9	1:1:1:1	SIGNOR;ComplexPortal;CellChatDB	25297919;18688235;14755292;23336709	SIGNOR:SIGNOR-C270;intact:EBI-10727454;PDB:3rez
WAVE complex	Q7L576_Q8IZP0_Q8WUW1_Q9Y2A7_Q9Y6W5	ABI1_BRK1_CYFIP1_NCKAP1_WASF2	1:1:1:1:1	KEGG-MEDICUS;SIGNOR;Compleat;CORUM	15070726	SIGNOR:SIGNOR-C271;CORUM:186;Compleat:HC1298
STX11-SNAP23 SNARE complex	O00161_O75558	SNAP23_STX11	0:0	SIGNOR		SIGNOR:SIGNOR-C272
STX11-VAMP8 SNARE complex	O75558_Q15833_Q9BV40	STX11_STXBP2_VAMP8	0:0:0	SIGNOR		SIGNOR:SIGNOR-C273
KATP channel	O60706_Q09428_Q14654_Q15842	ABCC8_ABCC9_KCNJ11_KCNJ8	0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C274
VAPB-PTPIP51 complex	O95292_Q96TC7	RMDN3_VAPB	0:0	SIGNOR		SIGNOR:SIGNOR-C275
Mitochondrial Fe-S Cluster Assembly Complex	Q16595_Q9H1K1_Q9HD34_Q9Y697	FXN_ISCU_LYRM4_NFS1	2:2:2:2	PDB;SIGNOR		SIGNOR:SIGNOR-C276;PDB:6nzu
Mitochondrial respiratory chain complex I	O00217_O14561_O15239_O43181_O43674_O43676_O43677_O43678_O43920_O75251_O75306_O75380_O75438_O75489_O95139_O95167_O95168_O95169_O95178_O95182_O95298_O95299_O96000_P03886_P03891_P03897_P03901_P03905_P03915_P03923_P17568_P19404_P28331_P49821_P51970_P56181_P56556_Q16718_Q16795_Q86Y39_Q9NX14_Q9P0J0_Q9UI09_Q9Y6M9	MT-ND1_MT-ND2_MT-ND3_MT-ND4_MT-ND4L_MT-ND5_MT-ND6_NDUFA1_NDUFA10_NDUFA11_NDUFA12_NDUFA13_NDUFA2_NDUFA3_NDUFA5_NDUFA6_NDUFA7_NDUFA8_NDUFA9_NDUFAB1_NDUFB1_NDUFB10_NDUFB11_NDUFB2_NDUFB3_NDUFB4_NDUFB5_NDUFB6_NDUFB7_NDUFB8_NDUFB9_NDUFC1_NDUFC2_NDUFS1_NDUFS2_NDUFS3_NDUFS4_NDUFS5_NDUFS6_NDUFS7_NDUFS8_NDUFV1_NDUFV2_NDUFV3	1:2:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1	PDB;SIGNOR;ComplexPortal	16828051;30030361;24344204;14755292;16756485	SIGNOR:SIGNOR-C277;intact:EBI-1245484;reactome:R-HSA-6799192;PDB:5xtd;PDB:5XTB
Mitochondrial respiratory chain complex II	O14521_P21912_P31040_Q99643	SDHA_SDHB_SDHC_SDHD	1:1:1:1	SIGNOR;Compleat;PDB;ComplexPortal;KEGG-MEDICUS	30030361;14755292;11803021;14672929;37098072	SIGNOR:SIGNOR-C278;Compleat:HC216;reactome:R-HSA-165631;reactome:R-HSA-70990;intact:EBI-1224566;PDB:8gs8
Mitochondrial respiratory chain complex III	O14949_O14957_P00156_P07919_P08574_P14927_P22695_P31930_P47985_Q9UDW1	CYC1_MT-CYB_UQCR10_UQCR11_UQCRB_UQCRC1_UQCRC2_UQCRFS1_UQCRH_UQCRQ	1:1:1:1:1:1:1:1:2:1	PDB;SIGNOR;ComplexPortal;KEGG-MEDICUS	16937356;14755292;10066163;28844695	SIGNOR:SIGNOR-C279;intact:EBI-1224506;reactome:R-HSA-164317;PDB:5xte;PDB:5XTE;PDB:9cg3
Mitochondrial respiratory chain complex IV	O00483_P00395_P00403_P00414_P09669_P10176_P10606_P12074_P13073_P14406_P14854_P15954_P20674_P24311	COX4I1_COX5A_COX5B_COX6A1_COX6B1_COX6C_COX7A2_COX7B_COX7C_COX8A_MT-CO1_MT-CO2_MT-CO3_NDUFA4	1:1:1:1:1:1:1:1:1:1:1:1:1:1	PDB;SIGNOR;ComplexPortal	14755292;30030361;30030519	SIGNOR:SIGNOR-C280;reactome:R-HSA-164316;intact:EBI-25817738;PDB:5z62
HAUS complex	O94927_Q68CZ6_Q7Z4H7_Q96CS2_Q99871_Q9BT25_Q9H6D7_Q9NVX0	HAUS1_HAUS2_HAUS3_HAUS4_HAUS5_HAUS6_HAUS7_HAUS8	1:1:1:1:1:1:1:1	CFinder;Compleat;SIGNOR;hu.MAP2;PDB;ComplexPortal;hu.MAP	19427217;30044976;14755292;36114186	SIGNOR:SIGNOR-C281;Compleat:HC3350;intact:EBI-2639327;reactome:R-HSA-8855211;PDB:7sqk;PDB:7SQK
g-TuRC complex	Q96CW5_Q96RT7_Q96RT8_Q9BSJ2_Q9UGJ1	TUBGCP2_TUBGCP3_TUBGCP4_TUBGCP5_TUBGCP6	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C282
