name	components	components_genesymbols	stoichiometry	sources	references	identifiers
STAT1/STAT3	P40763_P42224	STAT1_STAT3	1:1	KEGG-MEDICUS;SIGNOR;ComplexPortal	14755292;8662591;24058793	SIGNOR:SIGNOR-C118;reactome:R-HSA-1112555;reactome:R-HSA-8980551;reactome:R-HSA-1112590;reactome:R-HSA-8985942;intact:EBI-25761995
Cullin4-RBX1-DDB1	P62877_Q13619_Q16531_Q96SW2	CRBN_CUL4A_DDB1_RBX1	1:1:1:1	SIGNOR;ComplexPortal;CORUM	25108355;35101445;14755292;34553266;20223979	SIGNOR:SIGNOR-C119;CORUM:6875;intact:EBI-9025072
PKCtheta/Nfix	Q04759_Q14938	NFIX_PRKCQ	0:0	SIGNOR		SIGNOR:SIGNOR-C121
Six1/Dach	Q15475_Q9UI36	DACH1_SIX1	0:0	SIGNOR		SIGNOR:SIGNOR-C122
MTA1/DJ1 complex	Q13330_Q99497	MTA1_PARK7	0:0	SIGNOR		SIGNOR:SIGNOR-C123
ISGF3 complex	P42224_P52630_Q00978	IRF9_STAT1_STAT2	1:1:1	SIGNOR;Compleat;CORUM;ComplexPortal;KEGG-MEDICUS	8943351;14755292	SIGNOR:SIGNOR-C124;CORUM:60;Compleat:HC338;intact:EBI-25756792;reactome:R-HSA-909698
AHR-ARNT	P27540_P35869	AHR_ARNT	2:2	PDB;SIGNOR;Compleat;KEGG-MEDICUS	1317062	SIGNOR:SIGNOR-C125;Compleat:HC1287;PDB:5nj8
a7/b1 integrin	P05556_Q13683	ITGA7_ITGB1	1:1	SIGNOR;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	19693543;14755292;14715956;12297042	SIGNOR:SIGNOR-C126;CellPhoneDB:integrin_a7b1_complex;intact:EBI-2565379;reactome:R-HSA-215998
MYOD/E12E47	P15172_P15923	MYOD1_TCF3	1:1	SIGNOR;Compleat	9184158	SIGNOR:SIGNOR-C127;Compleat:HC550
MYOD/HEB	P15172_Q99081	MYOD1_TCF12	0:0	SIGNOR		SIGNOR:SIGNOR-C128
MYOD/E2-2	P15172_P15884	MYOD1_TCF4	0:0	SIGNOR		SIGNOR:SIGNOR-C129
Polycomb repressive complex 2	O75530_Q09028_Q15022_Q15910_Q6ZN18	AEBP2_EED_EZH2_RBBP4_SUZ12	1:1:1:1:1	PDB;SIGNOR;Compleat;CORUM	12351676	SIGNOR:SIGNOR-C130;CORUM:974;Compleat:HC652;PDB:8eqv
NAE	Q13564_Q8TBC4	NAE1_UBA3	2:2	SIGNOR;Compleat;hu.MAP2;CORUM;PDB;ComplexPortal	9545234;17220875;14755292;12646924;19352404	SIGNOR:SIGNOR-C131;CORUM:2162;Compleat:HC1053;intact:EBI-9020459;PDB:1yov
PP2CA_R1A_R2A	P30153_P63151_P67775	PPP2CA_PPP2R1A_PPP2R2A	2:2:2	PDB;SIGNOR		SIGNOR:SIGNOR-C132;PDB:9n0z;PDB:3dw8
PP2Ca_R1A_Bd	P30153_P67775_Q00005	PPP2CA_PPP2R1A_PPP2R2B	0:0:0	SIGNOR		SIGNOR:SIGNOR-C133
PP2Ca_R1A_Bd	P30153_P67775_Q14738	PPP2CA_PPP2R1A_PPP2R5D	1:1:1	PDB;SIGNOR		SIGNOR:SIGNOR-C134;PDB:8u1x;PDB:8u89
SCF-FBW7	P63208_Q13616_Q969H0	CUL1_FBXW7_SKP1	0:0:0	SIGNOR		SIGNOR:SIGNOR-C135
SCF-SKP2	P63208_Q13309_Q13616	CUL1_SKP1_SKP2	1:1:1	SIGNOR;Compleat;CORUM	12609982;9736735	SIGNOR:SIGNOR-C136;CORUM:226;Compleat:HC813
